Index,Image_name,PSNR,SSIM
198,data_1150.png,41.6301154,0.938286006
785,data_15003.png,41.62751922,0.946469247
1724,data_9032.png,41.62580507,0.932966113
1692,data_9000.png,41.62555481,0.935294747
316,data_12435.png,41.62450604,0.934739053
81,data_10570.png,41.61995036,0.931236267
79,data_10568.png,41.61719963,0.929322183
1503,data_7262.png,41.57819933,0.933240771
1030,data_3437.png,41.57728772,0.930429339
1721,data_9029.png,41.57564835,0.934965968
1429,data_6288.png,41.57508178,0.930829406
1509,data_7268.png,41.56824591,0.933856487
693,data_14567.png,41.56811616,0.932702065
516,data_13272.png,41.56511293,0.930413187
75,data_10564.png,41.56322483,0.931806087
1341,data_5316.png,41.56291382,0.932079971
1715,data_9023.png,41.55912186,0.933486879
1459,data_7211.png,41.55829659,0.943041563
44,data_10440.png,41.55640019,0.931525171
1732,data_9234.png,41.55473305,0.932049155
13,data_10026.png,41.54995188,0.932390571
513,data_13269.png,41.54745968,0.935163021
680,data_14554.png,41.54305995,0.933320522
1311,data_5250.png,41.54051739,0.931758881
1627,data_7906.png,41.53749263,0.931209922
1580,data_7510.png,41.53617137,0.94638747
1650,data_7929.png,41.53430341,0.929536819
43,data_10439.png,41.53157986,0.931908131
557,data_13339.png,41.52644306,0.93434608
1497,data_7256.png,41.52181496,0.930443764
652,data_13869.png,41.51984129,0.937528014
37,data_10433.png,41.50884315,0.932058752
1488,data_7240.png,41.50768159,0.93530339
991,data_3085.png,41.50399167,0.933637023
715,data_14917.png,41.50313935,0.932183921
280,data_11964.png,41.50100349,0.930375934
1635,data_7914.png,41.49897619,0.935436606
1395,data_5370.png,41.49425106,0.932219386
1725,data_9033.png,41.48949791,0.933618426
698,data_14572.png,41.48565001,0.934668422
722,data_14924.png,41.48068959,0.936228514
679,data_14553.png,41.47992289,0.931957245
1695,data_9003.png,41.4772972,0.935906768
712,data_14914.png,41.47723472,0.93902564
635,data_13822.png,41.47254237,0.933277965
1422,data_6281.png,41.47232059,0.929335475
974,data_2955.png,41.46865582,0.92892313
